species_number|common_name|latin_name|kingdom|phylum_division|subphylum_div|superclass|class|tax_order|family|genus|species|subspecies|variety|ecotox_group|ncbi_taxid
1|Fathead Minnow|Pimephales promelas|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cypriniformes|Cyprinidae|Pimephales|promelas|||FishStandard Test Species|90988
2|Bluegill|Lepomis macrochirus|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Perciformes|Centrarchidae|Lepomis|macrochirus|||FishStandard Test Species|13106
3|Brook Trout|Salvelinus fontinalis|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Salmoniformes|Salmonidae|Salvelinus|fontinalis|||FishStandard Test Species|8038
4|Rainbow Trout|Oncorhynchus mykiss|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Salmoniformes|Salmonidae|Oncorhynchus|mykiss|||FishStandard Test SpeciesU.S. Threatened and Endangered Species|8022
5|Water Flea|Daphnia magna|Animalia|Arthropoda|Crustacea||Branchiopoda|Diplostraca|Daphniidae|Daphnia|magna|||CrustaceansStandard Test Species|35525
6|Scud|Gammarus lacustris|Animalia|Arthropoda|Crustacea||Malacostraca|Amphipoda|Gammaridae|Gammarus|lacustris|||CrustaceansStandard Test Species|52639
7|Scud|Gammarus fasciatus|Animalia|Arthropoda|Crustacea||Malacostraca|Amphipoda|Gammaridae|Gammarus|fasciatus|||CrustaceansStandard Test Species|315707
8|Water Flea|Daphnia pulex|Animalia|Arthropoda|Crustacea||Branchiopoda|Diplostraca|Daphniidae|Daphnia|pulex|||CrustaceansStandard Test Species|6669
9|Diatom|Nitzschia linearis|Chromista|Bacillariophyta|||Bacillariophyceae|Pennales|Bacillariaceae|Nitzschia|linearis|||Algae|303401
10|Green Crab|Carcinus maenas|Animalia|Arthropoda|Crustacea||Malacostraca|Decapoda|Portunidae|Carcinus|maenas|||CrustaceansStandard Test SpeciesU.S. Invasive Species|6759
11|Sand Shrimp|Crangon crangon|Animalia|Arthropoda|Crustacea||Malacostraca|Decapoda|Crangonidae|Crangon|crangon|||Crustaceans|491138
12|Cockle|Cerastoderma edule|Animalia|Mollusca|||Bivalvia|Veneroida|Cardiidae|Cerastoderma|edule|||Molluscs|55710
13|Hooknose|Agonus cataphractus|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Scorpaeniformes|Agonidae|Agonus|cataphractus|||Fish|508607
14|Harlequinfish, Red Rasbora|Rasbora heteromorpha|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cypriniformes|Cyprinidae|Rasbora|heteromorpha|||Fish|432397
15|Stickleback Family|Gasterosteidae|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Gasterosteiformes|Gasterosteidae|||||Fish|69291
16|Western Mosquitofish|Gambusia affinis|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cyprinodontiformes|Poeciliidae|Gambusia|affinis|||Fish|33528
17|Bullhead, Catfish|Ictalurus sp.|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Siluriformes|Ictaluridae|Ictalurus|sp.|||Fish|7997
18|Creek Chub|Semotilus atromaculatus|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cypriniformes|Cyprinidae|Semotilus|atromaculatus|||Fish|67558
19|Pinfish|Lagodon rhomboides|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Perciformes|Sparidae|Lagodon|rhomboides|||FishStandard Test Species|50351
20|Channel Catfish|Ictalurus punctatus|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Siluriformes|Ictaluridae|Ictalurus|punctatus|||FishStandard Test Species|7998
21|Common Carp|Cyprinus carpio|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cypriniformes|Cyprinidae|Cyprinus|carpio|||FishStandard Test Species|7962
22|Chinook Salmon|Oncorhynchus tshawytscha|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Salmoniformes|Salmonidae|Oncorhynchus|tshawytscha|||FishStandard Test SpeciesU.S. Threatened and Endangered Species|74940
23|Silver Salmon|Oncorhynchus kisutch|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Salmoniformes|Salmonidae|Oncorhynchus|kisutch|||FishStandard Test SpeciesU.S. Threatened and Endangered Species|8019
24|Ostracod, Seed Shrimp|Cypridopsis vidua|Animalia|Arthropoda|Crustacea||Ostracoda|Podocopa|Cypridopsidae|Cypridopsis|vidua|||Crustaceans|230730
