cas_number|chemical_name|ecotox_group|dtxsid
50000|Formaldehyde||DTXSID7020637
50011|Guanidine monohydrochloride||DTXSID7058757
50022|11beta,16alpha-9-Fluoro-11,17,21-Trihydroxy-16-methyl-pregna-1,4-diene-3,20-dione|Pharmaceutical Personal Care Products (PPCPs)|DTXSID3020384
50033|(11beta)-21-Acetyloxy)-11,17-dihydroxypregn-4-ene-3,20-dione||DTXSID0048686
50044|17-Hydroxy-3,11,20-trioxopregn-4-en-21-yl acetate||DTXSID0022858
50066|5-Ethyl-5-phenyl-2,4,6(1H,3H,5H)-pyrimidinetrione|Pharmaceutical Personal Care Products (PPCPs)|DTXSID5021122
50077|(1aS,8S,8aR,8bS)-6-Amino-8-[[(aminocarbonyl)oxy]methyl]-1,1a,2,8,8a,8b-hexahydro-8a-methoxy-5-methyl-azirino[2',3':3,4]pyrrolo[1,2-a]indole-4,7-dione||DTXSID2020898
50099|5-(1-Cyclohexen-1-yl)-1,5-dimethyl-2,4,6(1H,3H,5H)-pyrimidinetrione, Sodium salt||DTXSID301018906
50135|1-Methyl-4-phenyl-4-piperidinecarboxylic acid ethyl ester hydrochloride (1:1)||DTXSID30950620
50146|(1S,3Z)-[(1R,2E,4R)-1,4,5-Trimethyl-2-hexen-1-yl]-4H-inden-4-ylidene]ethylidene]-4-methylene-3-[(2E)-2-[(1R,3aS,7aR)-octahydro-7a-methyl-1-cyclohexanol||DTXSID5020233
50180|N,N-Bis(2-chloroethyl)tetrahydro-2H-1,3,2-oxazaphosphorin-2-amine 2-oxide||DTXSID5020364
50215|2-Hydropropanoic acid||DTXSID7023192
50226|(11 beta)-11,21-Dihydroxypregn-4-ene-3,20-dione||DTXSID6022474
50237|(11B)-11,17,21-Trihydroxypregna-4-ene-3,20-dione|Pharmaceutical Personal Care Products (PPCPs)|DTXSID7020714
50248|(11beta)-11,17,21-Trihydroxypregna-1,4-diene-3,20-dione|Pharmaceutical Personal Care Products (PPCPs)|DTXSID9021184
50271|(16 alpha, 17 beta)-Estra-1,3,5(10)-triene-3,16,17-triol||DTXSID9022366
50282|(17beta)Estra-1,3,5(10)triene-3,17-diol|Pharmaceutical Personal Care Products (PPCPs)|DTXSID0020573
50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|DDT and metabolites|DTXSID4020375
50306|2,6-Dichlorobenzoic acid||DTXSID0024979
50317|2,3,6-Trichlorobenzoic acid||DTXSID6040296
50328|Benzo[a]pyrene|Endocrine Disrupting Chemicals (EDCs)Polyaromatic Hydrocarbons (PAHs)|DTXSID2020139
50339|4-Butyl-1,2-diphenyl-3,5-pyrazolidinedione||DTXSID9021136
50340|N-Methyl-N-(1-methylethyl)-N-[2-[(9H-xanthen-9-ylcarbonyl)oxy]ethyl]-2-propanaminium bromide (1:1)||DTXSID2023519
50351|2-(2,6-Dioxo-3-piperidinyl)-1H-isoindole-1,3(2H)dione|Pharmaceutical Personal Care Products (PPCPs)|DTXSID9022524
50362|(1R,2R,3S,5S)-3-(Benzoyloxy)-8-methyl-8-azabicyclo[3.2.1]octane-2-carboxylic acid methyl ester||
50373|(8 beta)-9,10-Didehydro-N,N-diethyl-6-methylergoline-8-carboxamide||DTXSID1023231
50419|2-Hydroxypropane-1,2,3-tricarboxylic acid--2-[4-(2-chloro-1,2-diphenylethenyl)phenoxy]-N,N-diethylethan-1-amine (1/1)||DTXSID8020337
50431|2,4,6-Trichlorobenzoic acid||DTXSID9075329
50442|1,7-Dihydro-6H-purine-6-thione|Pharmaceutical Personal Care Products (PPCPs)|DTXSID0020810
50453|2,3-Dichlorobenzoic acid||DTXSID5024976
50486|3-(10,11-Dihydro-5H-dibenzo[a,d]cyclohepten-5-ylidene)-N,N-dimethyl-1-propanamine|Pharmaceutical Personal Care Products (PPCPs)|DTXSID7022594
50497|Imipramine|Pharmaceutical Personal Care Products (PPCPs)|DTXSID1043881
50500|(17beta)Estra-1,3,5(10)triene-3,17-diol-3-benzoate||DTXSID9022998
50522|10-[2-(1-Methyl-2-piperidinyl)ethyl]-2-(methylthio)-10H-phenothiazine||
50533|2-Chloro-N,N-dimethyl-10H-phenothiazine-10-propanamine||DTXSID0022808
50544|Sulfuric acid--(9S)-6'-methoxycinchonan-9-ol (1/2)||DTXSID50883224
50555|Reserpine||DTXSID7021237
50566|Oxytocin||DTXSID8048361
50599|(6R-trans)-1-[[2-Carboxy-8-oxo-7-[(2-thienylacetyl)amino]-5-thia-1-azabicyclo[4.2.0]oct-2-en-3-yl]methyl]pyridinium, Hydrochloride, Inner salt||
50602|3-[[(4,5-Dihydro-1H-imidazol-2-yl)methyl](4-methylphenyl)amino]phenol||DTXSID4023462
